sujeto,condicion,ventana,RMS,MAV,WL,ZC,SSC,WAMP,MNF,MDF,Power
Sujeto1,Moderado,1,8.661159895364978e-06,3.402770468300095e-06,0.0003834193022379998,0,16,0,1.5419906579059521,1.5,5.1664390755655274e-11
Sujeto1,Moderado,2,3.936379123652397e-07,3.2694978703890255e-07,4.029194186290662e-06,0,16,0,0.49334313688029463,0.5,2.1746483299941212e-13
Sujeto1,Moderado,3,2.75660641900936e-07,2.1970400454125591e-07,2.6279825033379766e-06,0,14,0,0.5501010459839619,0.5,6.061271218406524e-14
Sujeto1,Moderado,4,0.006800516430691906,0.0005589110265393345,1.8564524817456287,14,71,44,101.08066937526625,83.5,0.00010824143068795426
Sujeto1,Moderado,5,0.008176542522260797,0.0009782072891169739,3.3905694010812573,28,130,92,101.3389202935722,83.0,0.00011966166572411949
Sujeto1,Moderado,6,0.005168811642012982,0.0006691284182975221,2.625918744018084,27,189,75,117.26162299155638,94.0,6.155917732276926e-05
Sujeto1,Moderado,7,0.002811007352225754,0.000372045225438272,1.3285218893183082,14,176,35,156.9389678698829,146.5,1.2735698951892814e-05
Sujeto1,Moderado,8,0.008782554225553922,0.0016111145841776902,5.2428745446467975,42,257,148,97.91298338262725,76.5,0.00018288689013027341
Sujeto1,Moderado,9,0.009801276485625359,0.0021786895048126007,7.882416359984294,68,409,205,113.37422932525654,98.0,0.0001921982513476543
Sujeto1,Moderado,10,0.0049978673185130905,0.0009023298967709347,3.575981402185408,35,288,87,154.87417188291982,155.5,6.61195563540064e-05
Sujeto1,Moderado,11,0.010115494970666444,0.0016916962129381098,6.241205549047942,43,278,142,118.16828844907869,98.5,0.00022117362479810279
Sujeto1,Moderado,12,0.013052824921820163,0.0027967799091343695,10.837972859613211,80,404,247,126.86608929873188,104.5,0.0004136987303115892
Sujeto1,Moderado,13,0.009887440956835454,0.002155857261794128,7.133980172230787,61,414,194,118.10230912256704,102.0,0.0002242252840226275
Sujeto1,Moderado,14,0.007069263863221498,0.001521263346483984,3.856363760023548,29,318,102,101.02170950907392,65.0,0.00012633271079877335
Sujeto1,Moderado,15,0.007037656860304517,0.0016063971660479222,4.263109123510666,33,267,104,92.69138274706492,77.5,0.00010595893633996054
Sujeto1,Moderado,16,0.006384351342442366,0.0013497771382697077,3.558361311513381,30,233,105,92.87656423804992,67.0,8.065972616309313e-05
Sujeto1,Moderado,17,0.006972319904567713,0.0011702263573546447,4.424511927442617,34,243,108,134.03073629794338,119.0,0.0001027853679410802
Sujeto1,Moderado,18,0.008915602538948176,0.0016524778110898822,6.131169097346692,47,329,132,139.99756080651937,126.0,0.00020889754147468897
Sujeto1,Moderado,19,0.010750500359634029,0.002120876154411498,6.78563028849082,54,377,173,100.79642861663635,88.0,0.00014989504922577923
Sujeto1,Moderado,20,0.011174467078334088,0.0026420728459337715,6.594873768061399,46,386,194,82.24426093727897,71.0,0.00023160440578631482
Sujeto1,Moderado,21,0.011024394302417547,0.002693802338605478,5.658974466221196,33,343,158,65.51057141718819,57.5,0.00019062807462518839
Sujeto1,Moderado,22,0.009561252793725687,0.0021621833804336497,4.725193356071192,33,325,141,79.97893042650134,70.5,0.00023323353841636407
Sujeto1,Moderado,23,0.006076388527038407,0.0011862538494093005,2.8257104605307806,23,255,88,74.71845076074581,61.0,8.975082987097161e-05
Sujeto1,Moderado,24,0.0060306202810371645,0.0008639601696409371,2.9009412922751228,23,208,77,132.77958548931554,115.5,7.115958694381274e-05
Sujeto1,Moderado,25,0.006635659400357512,0.0011235413033388014,3.489444039371058,28,209,102,107.83376927335446,92.0,5.6290601459091514e-05
Sujeto1,Moderado,26,0.008891096179404234,0.0017753893975821888,4.716253594431587,36,286,139,80.67495379692541,61.0,0.0002079767489645889
Sujeto1,Moderado,27,0.011093897767869516,0.00252935165491495,5.238627500567787,30,364,132,61.05425916073886,50.0,0.00016708594838362486
Sujeto1,Moderado,28,0.008443986379829424,0.0017262260982113802,2.86541503596174,14,317,67,53.42503301552901,52.0,0.00019077567043221662
Sujeto1,Moderado,29,0.0048780858693392055,0.0008868765358339022,2.0246259540633442,15,268,59,101.12863786712181,59.0,2.3740304730900974e-05
Sujeto1,Moderado,30,0.00486119371750284,0.0007822553943134044,1.829075502347534,14,220,55,76.21296913242253,60.5,4.4147362622043425e-05
