sujeto,condicion,ventana,RMS,MAV,WL,ZC,SSC,WAMP,MNF,MDF,Power
Sujeto4,Reposo,1,0.0007039219416580942,0.00011111933345761358,0.057872815702093676,0,101,0,24.271923123224205,23.5,2.9939377396444e-07
Sujeto4,Reposo,2,0.00111037283613205,0.00020869709767298522,0.1947220484259083,0,133,0,28.55089514312783,28.0,2.5195118078683586e-06
Sujeto4,Reposo,3,0.0010529955320753264,0.0001770307819447181,0.16571024259432976,0,106,0,28.456549451414396,28.0,3.0130325562633613e-06
Sujeto4,Reposo,4,4.707726426715531e-05,1.068634501896162e-05,0.0035517357390540748,0,49,0,12.472492346086229,12.0,5.373054917679723e-09
Sujeto4,Reposo,5,0.00019059899638472914,4.564202818649181e-05,0.02417758990035102,0,93,0,20.691582364798435,19.5,8.080293966029137e-08
Sujeto4,Reposo,6,0.00025765288527519623,9.862918121457216e-05,0.05366628661064679,0,156,0,17.077322240079997,14.0,8.13525808120665e-08
Sujeto4,Reposo,7,0.00018841086163763027,6.784800117412813e-05,0.0348320747927637,0,119,0,15.337424820101248,13.5,6.880362945680356e-08
Sujeto4,Reposo,8,7.047789924651972e-05,1.071721227281857e-05,0.004491899758033981,0,51,0,12.431441544127328,12.0,4.637827970203218e-09
Sujeto4,Reposo,9,4.0351233684212775e-05,1.008348496079893e-05,0.003083020501527951,0,61,0,11.78120705003741,11.5,2.479232427440639e-09
Sujeto4,Reposo,10,4.0277792397865484e-05,1.0126538894281737e-05,0.002990049398637363,0,49,0,6.1887362461552975,6.0,1.1850592110874485e-09
Sujeto4,Reposo,11,1.07285361768656e-06,4.2610109773737923e-07,1.7969543875361292e-05,0,9,0,0.4389552693241952,0.5,5.050161429722487e-13
Sujeto4,Reposo,12,0.00025864984946366636,5.2315912678728284e-05,0.02955366588754827,0,66,0,20.02966377526887,19.0,2.0392960106306908e-07
Sujeto4,Reposo,13,0.000259174554761948,5.625750782545099e-05,0.030533029219147842,0,106,0,20.157614126085242,19.5,1.0883684784826327e-07
Sujeto4,Reposo,14,7.936743788923353e-05,1.5905690608073618e-05,0.006293740651319903,0,84,0,12.546766601389686,12.0,1.7372090712663774e-08
Sujeto4,Reposo,15,0.0011158852995266598,0.00019265211377405048,0.14954729086687166,0,135,0,24.175713364826656,23.0,5.511834779866885e-07
Sujeto4,Reposo,16,0.001124566993926428,0.00020539924668376886,0.1543353506003478,0,127,0,24.471278565282404,23.5,2.8212395772280514e-06
Sujeto4,Reposo,17,0.00018823758902127848,4.481154513034325e-05,0.018393208544337306,0,70,0,12.584013155496361,12.0,4.094818814976057e-08
Sujeto4,Reposo,18,0.0001622649937585586,4.7975122837569164e-05,0.02542608003002587,0,98,0,12.652282921334452,12.0,2.806917029083301e-08
Sujeto4,Reposo,19,0.00014885605781252855,3.726123797774083e-05,0.021214104472469592,0,73,0,20.138196484383204,18.5,3.8115895791335e-08
Sujeto4,Reposo,20,7.604806798092371e-05,9.6388925936544e-06,0.0040421884770064425,0,16,0,0.5804946889448483,0.0,1.5498054887394536e-11
Sujeto4,Reposo,21,0.0002382467237270036,2.5028846118173963e-05,0.02093746699619887,0,31,0,24.973357760340505,24.0,1.8863597148750023e-07
Sujeto4,Reposo,22,0.00029034225944500977,5.178420190983913e-05,0.04035104779480938,0,96,0,24.875518961733334,23.5,1.0193121366478251e-07
Sujeto4,Reposo,23,0.000664033043832127,0.00016759588202359507,0.12895729535741876,0,151,0,24.166118302799116,22.5,4.3794465584810917e-07
Sujeto4,Reposo,24,0.0008059946756673971,0.0002209522079336226,0.17997426564552327,0,142,0,25.677243458881055,25.0,1.0958474265214678e-06
Sujeto4,Reposo,25,0.0004882003905653092,8.958849842973636e-05,0.07350773726159664,0,101,0,28.563571539903965,28.0,3.8013302777832155e-07
Sujeto4,Reposo,26,5.136164129690592e-05,1.3642379651706563e-05,0.004813731470493059,0,103,0,12.006807842602786,11.5,4.634042168524149e-09
Sujeto4,Reposo,27,0.00010674329650617197,2.614770645334083e-05,0.01090694898374889,0,106,0,12.494302284082343,12.0,3.0037694985889417e-08
Sujeto4,Reposo,28,0.00011089318994125886,2.9702200031697177e-05,0.010829404570002553,0,71,0,11.384692499479288,11.5,2.4678870419619408e-08
Sujeto4,Reposo,29,3.7767345980150656e-05,8.035086553086384e-06,0.0016709316726934913,0,33,0,6.250427088632819,6.0,2.834987244690736e-09
Sujeto4,Reposo,30,7.830810863031687e-05,1.4799521571538304e-05,0.007998321331707461,0,58,0,14.937126294165829,12.5,6.643990915202016e-09
Sujeto4,Reposo,31,0.00026422520464727193,5.172185972517633e-05,0.03905539471966449,0,103,0,23.796890656986697,23.0,1.502472494279116e-07
Sujeto2,Moderado,1,0.006988455702401726,0.0012979032294034823,4.717658072820424,39,272,129,110.31681456096354,92.0,9.39826755895339e-05
Sujeto2,Moderado,2,0.00889853395369593,0.0020558787381434935,7.228767949993139,61,432,207,117.13628836392485,100.0,0.00016335301196448692
Sujeto2,Moderado,3,0.009063488380795647,0.002258350997442805,8.3097563104604,73,539,228,126.49800824569186,109.5,0.00018119930774670615
Sujeto2,Moderado,4,0.010719992952684847,0.0025110566020319866,9.007625583428506,75,501,227,134.83273774755145,121.0,0.0001813776786043131
Sujeto2,Moderado,5,0.01520242683949526,0.003279682143323366,12.150250367450392,97,589,293,122.5954144762663,113.0,0.0005621453457976162
Sujeto2,Moderado,6,0.01476003632330045,0.003222040963417515,12.452512312256847,101,608,312,121.51541142425741,110.5,0.0005366423903378063
Sujeto2,Moderado,7,0.009775577912260034,0.0021101616043945645,8.10528034454799,71,438,217,126.91397965834558,103.0,0.00021543823879250287
Sujeto2,Moderado,8,0.005600218967982766,0.0008133424834649725,3.098932597994397,32,265,81,124.31925084653992,103.0,5.144125742590486e-05
Sujeto2,Moderado,9,0.0075785604446380935,0.0016439748094222103,6.60744235391834,73,441,172,133.9197875449811,123.0,0.00012952901415649932
Sujeto2,Moderado,10,0.015955584444042284,0.005121208299849428,20.776958785747254,191,842,522,141.636246292127,121.0,0.00044666074230118806
Sujeto2,Moderado,11,0.017259665903833654,0.005915974117213073,24.530654138749338,218,962,623,135.60222423649876,111.0,0.0006812265012071914
Sujeto2,Moderado,12,0.013685045703741492,0.0043936030115501795,16.820686644493165,153,821,446,127.04067374981422,107.5,0.000390764065626624
Sujeto2,Moderado,13,0.011975320276194799,0.0035904184351548294,12.670288516005927,117,653,353,121.45614691285017,108.0,0.0002619415208964962
Sujeto2,Moderado,14,0.013435391919885494,0.003893500646326143,14.878932626180413,141,645,412,123.11376008528542,108.0,0.0003514286307869687
Sujeto2,Moderado,15,0.01711316749065147,0.004282104611243299,17.810041323137714,152,698,429,129.4018565337114,109.5,0.00042755759165073314
Sujeto2,Moderado,16,0.014929441191264149,0.0029801887739629353,14.39370180129066,127,591,324,160.9219279734959,146.5,0.0006039432645738711
